wine_image,name,year,price,bodyPercent,Tanning,Acidic,compareFoods,rating,about_wine,Winery,Type,NewBodyPercent,NewTanning,NewAcidic,Grape_Type,Alcohol,Allergy
https://images.vivino.com/thumbs/8a_JYJmsQ1q1PzY9L91I-A_pb_x600.png,"Château Beausejour (héritiers Duffau-Lagarrosse)
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014",2014,$137.67,72.4694%;,56.8213%;,53.3778%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Beausejour (héritiers Duffau-Lagarrosse)'], ['Grapes', 'Merlot, Cabernet Sauvignon, Cabernet Franc'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites']]", Château Beausejour (héritiers Duffau-Lagarrosse),red,72.4694,56.8213,53.3778,"[' Merlot', ' Cabernet Sauvignon', ' Cabernet Franc', ' ']", 13%,"["" 'Contains sulfites']]""]"
https://images.vivino.com/thumbs/BrbHdEB8TqK2N61pvLoQeQ_pb_x600.png,"Château La Conseillante
Pomerol 2018",2018,$343.99,71.1173%;,54.1515%;,52.7759%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château La Conseillante'], ['Grapes', '100% Cabernet Franc'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'Very fine, round, very fruity wine, which will provide great tasting pleasure even when young. It is very well balanced and shows lovely freshness, underpinned by a medium structure.']]", Château La Conseillante,red,71.1173,54.1515,52.7759,"[' 100% Cabernet Franc', ' ']", 13.5%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']"", ' ']"
https://images.vivino.com/thumbs/4fTn5zJRTAWUdX9cnng2NQ_pb_x600.png,"Château Gazin
Pomerol 2018",2018,$139.99,73.0692%;,56.2655%;,52.5401%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Gazin'], ['Grapes', '100% Merlot'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Lavish richness offers a wide aromatic range of black and red fruits which harmonises with its intense purple colour. It also offers hints of mint, plum, chocolate, coffee or liquorice, a bouquet of almond, toast, tobacco and vanilla. Maturity gives it a nose of spices, truffles, undergrowth and gamey scents: fur, leather. Its taste is characterised by their silky tannins, their balance and concentration, enhanced by a delicate oaky note.']]", Château Gazin,red,73.0692,56.2655,52.5401,"[' 100% Merlot', ' ']", 14.5%,"["" 'Contains sulfites']"", ' ']"
https://images.vivino.com/thumbs/9dJEcnU_RnecZTWYx0Kh3Q_pb_x600.png,"Château Gruaud Larose
Saint-Julien (Grand Cru Classé) 2010",2010,$189.95,61.9414%;,63.7522%;,71.4182%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Gruaud Larose'], ['Grapes', '66% Cabernet Sauvignon, 28% Merlot, 6% Petit Verdot'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites']]", Château Gruaud Larose,red,61.9414,63.7522,71.4182,"[' 66% Cabernet Sauvignon', ' 28% Merlot', ' 6% Petit Verdot', ' ']", 14%,"["" 'Contains sulfites']]""]"
https://images.vivino.com/thumbs/auhSHa-oSo2t97PddvhhKA_pb_x600.png,"Château Grand-Puy-Lacoste
Pauillac (Grand Cru Classé) 2019",2019,$116,71.8222%;,72.7671%;,72.4039%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Grand-Puy-Lacoste'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Pauillac'], ['Wine style', 'Bordeaux Pauillac'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'Exhibits classic Pauillac aromas and flavors of creme de cassis along with stony/floral notes.']]", Château Grand-Puy-Lacoste,red,71.8222,72.7671,72.4039,"[' 100% Cabernet Sauvignon', ' ']", 13%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']"", ' ']"
https://images.vivino.com/thumbs/ggYdM1VhSV2VwPOMfvJ7TQ_pb_x600.png,"Château Cantenac Brown
Margaux (Grand Cru Classé) 2016",2016,$100,62.9745%;,64.6261%;,71.9807%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Cantenac Brown'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens']]", Château Cantenac Brown,red,62.9745,64.6261,71.9807,"[' 100% Cabernet Sauvignon', ' ']", 13.5%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']]""]"
https://images.vivino.com/thumbs/w415ZVJcTWCXgGXjug-pGg_pb_x600.png,"Château Gazin
L'Hospitalet de Gazin Pomerol 2019",2019,$60,72.926%;,54.5975%;,52.1383%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Gazin'], ['Grapes', '100% Merlot'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', ""A dark, winey style, with flavors of steeped plum, kirsch and black cherry preserves, notes of singed spice and apple wood and a long, licorice-framed finish. Features a bit of chewy grip, but there's ample flesh at the core for balance.""]]", Château Gazin,red,72.926,54.5975,52.1383,"[' 100% Merlot', ' ']", 13%,"["" 'Contains sulfites']"", ' ']"
https://images.vivino.com/thumbs/CTFn0en9ScKS-_5__wjZ0Q_pb_x600.png,"Petit-Figeac
Saint-Émilion 2016",2016,$100,73.9045%;,54.435%;,52.6013%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Petit-Figeac'], ['Grapes', '41% Cabernet Franc, 36% Cabernet Sauvignon, 23% Merlot'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork']]", Petit-Figeac,red,73.9045,54.435,52.6013,"[' 41% Cabernet Franc', ' 36% Cabernet Sauvignon', ' 23% Merlot', ' ']", 13%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']"", ' ']"
https://images.vivino.com/thumbs/fp0xBmQ5SyeFj1ySZU8AlQ_pb_x600.png,"Château Giscours
Château Giscours (Grand Cru Classé) 2010",2010,$134.83,62.3271%;,63.2783%;,71.8069%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Giscours'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites']]", Château Giscours,red,62.3271,63.2783,71.8069,"[' 100% Cabernet Sauvignon', ' ']", 14%,"["" 'Contains sulfites']]""]"
https://images.vivino.com/thumbs/8GOQAjMSTxm0So0G-URPXw_pb_x600.png,"Château Pichon Longueville Comtesse de Lalande
Réserve (de la Comtesse) Pauillac 2018",2018,$85,70.9953%;,69.6288%;,70.9459%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Pichon Longueville Comtesse de Lalande'], ['Grapes', '53% Cabernet Sauvignon, 42% Merlot, 4% Petit Verdot, 1% Cabernet Franc'], ['France', 'Bordeaux', 'Médoc', 'Pauillac'], ['Wine style', 'Bordeaux Pauillac'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'Complexity, elegance and longevity are the hallmarks of this race. The nose is distinguished by a bouquet of aromas, mixing blackcurrant and violet, vanilla and cinnamon. On the palate, the tannins appear mature and melted, revealing a strong and affirmed structure, a surprising suppleness, perfect harmony and long persistency.']]", Château Pichon Longueville Comtesse de Lalande,red,70.9953,69.6288,70.9459,"[' 53% Cabernet Sauvignon', ' 42% Merlot', ' 4% Petit Verdot', ' 1% Cabernet Franc', ' ']", 14%,"["" 'Contains sulfites']"", ' ']"
