wine_image,name,compareFoods,rating,about_wine,Winery,Type,Alcohol,year,price,bodyPercent,Tanning,Sugar,Acidic,NewBodyPercent,NewTanning,NewDryOrSweet,NewAcidic,Region,Grape_Types,Description,WordCloud,Lemmatizer
https://images.vivino.com/thumbs/BrbHdEB8TqK2N61pvLoQeQ_pb_x600.png,"Château La Conseillante
Pomerol 2018","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château La Conseillante'], ['Grapes', '100% Cabernet Franc'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'Very fine, round, very fruity wine, which will provide great tasting pleasure even when young. It is very well balanced and shows lovely freshness, underpinned by a medium structure.']]", Château La Conseillante,red, 13.5%,2018,$343.99,71.1173%;,54.1515%;,9.05772%;,52.7759%;,71.1173,54.1515,9.05772,52.7759,Bordeaux,"["" '100% Cabernet Franc'""]","Wine description, Very fine, round, very fruity wine, which will provide great tasting pleasure even when young. It is very well balanced and shows lovely freshness, underpinned by a medium structure.","['very', 'fine', 'round', 'very', 'fruity', 'wine', 'which', 'will', 'provide', 'great', 'tasting', 'pleasure', 'even', 'when', 'young', '.', 'it', 'is', 'very', 'well', 'balanced', 'and', 'shows', 'lovely', 'freshness', 'underpinned', 'by', 'a', 'medium', 'structure', '.']","['fine', 'round', 'fruity', 'wine', 'provide', 'great', 'tasting', 'pleasure', 'even', 'young', '.', 'well', 'balanced', 'show', 'lovely', 'freshness', 'underpinned', 'medium', 'structure', '.']"
https://images.vivino.com/thumbs/4fTn5zJRTAWUdX9cnng2NQ_pb_x600.png,"Château Gazin
Pomerol 2018","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Gazin'], ['Grapes', '100% Merlot'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Lavish richness offers a wide aromatic range of black and red fruits which harmonises with its intense purple colour. It also offers hints of mint, plum, chocolate, coffee or liquorice, a bouquet of almond, toast, tobacco and vanilla. Maturity gives it a nose of spices, truffles, undergrowth and gamey scents: fur, leather. Its taste is characterised by their silky tannins, their balance and concentration, enhanced by a delicate oaky note.']]", Château Gazin,red, 14.5%,2018,$139.99,73.0692%;,56.2655%;,8.95999%;,52.5401%;,73.0692,56.2655,8.95999,52.5401,Bordeaux,"["" '100% Merlot'""]","Wine description, Lavish richness offers a wide aromatic range of black and red fruits which harmonises with its intense purple colour. It also offers hints of mint, plum, chocolate, coffee or liquorice, a bouquet of almond, toast, tobacco and vanilla. Maturity gives it a nose of spices, truffles, undergrowth and gamey scents: fur, leather. Its taste is characterised by their silky tannins, their balance and concentration, enhanced by a delicate oaky note.","['lavish', 'richness', 'offers', 'a', 'wide', 'aromatic', 'range', 'of', 'black', 'and', 'red', 'fruits', 'which', 'harmonises', 'with', 'its', 'intense', 'purple', 'colour', '.', 'it', 'also', 'offers', 'hints', 'of', 'mint', 'plum', 'chocolate', 'coffee', 'or', 'liquorice', 'a', 'bouquet', 'of', 'almond', 'toast', 'tobacco', 'and', 'vanilla', '.', 'maturity', 'gives', 'it', 'a', 'nose', 'of', 'spices', 'truffles', 'undergrowth', 'and', 'gamey', 'scents', 'fur', 'leather', '.', 'its', 'taste', 'is', 'characterised', 'by', 'their', 'silky', 'tannins', 'their', 'balance', 'and', 'concentration', 'enhanced', 'by', 'a', 'delicate', 'oaky', 'note', '.']","['lavish', 'richness', 'offer', 'wide', 'aromatic', 'range', 'black', 'red', 'fruit', 'harmonises', 'intense', 'purple', 'colour', '.', 'also', 'offer', 'hint', 'mint', 'plum', 'chocolate', 'coffee', 'liquorice', 'bouquet', 'almond', 'toast', 'tobacco', 'vanilla', '.', 'maturity', 'give', 'nose', 'spice', 'truffle', 'undergrowth', 'gamey', 'scent', 'fur', 'leather', '.', 'taste', 'characterised', 'silky', 'tannin', 'balance', 'concentration', 'enhanced', 'delicate', 'oaky', 'note', '.']"
https://images.vivino.com/thumbs/auhSHa-oSo2t97PddvhhKA_pb_x600.png,"Château Grand-Puy-Lacoste
Pauillac (Grand Cru Classé) 2019","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Grand-Puy-Lacoste'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Pauillac'], ['Wine style', 'Bordeaux Pauillac'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'Exhibits classic Pauillac aromas and flavors of creme de cassis along with stony/floral notes.']]", Château Grand-Puy-Lacoste,red, 13%,2019,$116,71.8223%;,72.767%;,7.55852%;,72.4042%;,71.8223,72.767,7.55852,72.4042,Bordeaux,"["" '100% Cabernet Sauvignon'""]","Wine description, Exhibits classic Pauillac aromas and flavors of creme de cassis along with stony/floral notes.","['exhibits', 'classic', 'pauillac', 'aromas', 'and', 'flavors', 'of', 'creme', 'de', 'cassis', 'along', 'with', 'stonyfloral', 'notes', '.']","['exhibit', 'classic', 'pauillac', 'aroma', 'flavor', 'creme', 'de', 'cassis', 'along', 'stonyfloral', 'note', '.']"
https://images.vivino.com/thumbs/w415ZVJcTWCXgGXjug-pGg_pb_x600.png,"Château Gazin
L'Hospitalet de Gazin Pomerol 2019","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Gazin'], ['Grapes', '100% Merlot'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', ""A dark, winey style, with flavors of steeped plum, kirsch and black cherry preserves, notes of singed spice and apple wood and a long, licorice-framed finish. Features a bit of chewy grip, but there's ample flesh at the core for balance.""]]", Château Gazin,red, 13%,2019,$60,72.926%;,54.5975%;,5.60577%;,52.1383%;,72.926,54.5975,5.60577,52.1383,Bordeaux,"["" '100% Merlot'""]","Wine description, ""A dark, winey style, with flavors of steeped plum, kirsch and black cherry preserves, notes of singed spice and apple wood and a long, licorice-framed finish. Features a bit of chewy grip, but theres ample flesh at the core for balance.""","['a', 'dark', 'winey', 'style', 'with', 'flavors', 'of', 'steeped', 'plum', 'kirsch', 'and', 'black', 'cherry', 'preserves', 'notes', 'of', 'singed', 'spice', 'and', 'apple', 'wood', 'and', 'a', 'long', 'licoriceframed', 'finish', '.', 'features', 'a', 'bit', 'of', 'chewy', 'grip', 'but', 'theres', 'ample', 'flesh', 'at', 'the', 'core', 'for', 'balance', '.']","['dark', 'winey', 'style', 'flavor', 'steeped', 'plum', 'kirsch', 'black', 'cherry', 'preserve', 'note', 'singed', 'spice', 'apple', 'wood', 'long', 'licoriceframed', 'finish', '.', 'feature', 'bit', 'chewy', 'grip', 'ample', 'flesh', 'core', 'balance', '.']"
https://images.vivino.com/thumbs/8GOQAjMSTxm0So0G-URPXw_pb_x600.png,"Château Pichon Longueville Comtesse de Lalande
Réserve (de la Comtesse) Pauillac 2018","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Pichon Longueville Comtesse de Lalande'], ['Grapes', '53% Cabernet Sauvignon, 42% Merlot, 4% Petit Verdot, 1% Cabernet Franc'], ['France', 'Bordeaux', 'Médoc', 'Pauillac'], ['Wine style', 'Bordeaux Pauillac'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'Complexity, elegance and longevity are the hallmarks of this race. The nose is distinguished by a bouquet of aromas, mixing blackcurrant and violet, vanilla and cinnamon. On the palate, the tannins appear mature and melted, revealing a strong and affirmed structure, a surprising suppleness, perfect harmony and long persistency.']]", Château Pichon Longueville Comtesse de Lalande,red, 14%,2018,$85,70.9953%;,69.6288%;,5.41909%;,70.9459%;,70.9953,69.6288,5.41909,70.9459,Bordeaux,"["" '53% Cabernet Sauvignon"", ' 42% Merlot', ' 4% Petit Verdot', "" 1% Cabernet Franc'""]","Wine description, Complexity, elegance and longevity are the hallmarks of this race. The nose is distinguished by a bouquet of aromas, mixing blackcurrant and violet, vanilla and cinnamon. On the palate, the tannins appear mature and melted, revealing a strong and affirmed structure, a surprising suppleness, perfect harmony and long persistency.","['complexity', 'elegance', 'and', 'longevity', 'are', 'the', 'hallmarks', 'of', 'this', 'race', '.', 'the', 'nose', 'is', 'distinguished', 'by', 'a', 'bouquet', 'of', 'aromas', 'mixing', 'blackcurrant', 'and', 'violet', 'vanilla', 'and', 'cinnamon', '.', 'on', 'the', 'palate', 'the', 'tannins', 'appear', 'mature', 'and', 'melted', 'revealing', 'a', 'strong', 'and', 'affirmed', 'structure', 'a', 'surprising', 'suppleness', 'perfect', 'harmony', 'and', 'long', 'persistency', '.']","['complexity', 'elegance', 'longevity', 'hallmark', 'race', '.', 'nose', 'distinguished', 'bouquet', 'aroma', 'mixing', 'blackcurrant', 'violet', 'vanilla', 'cinnamon', '.', 'palate', 'tannin', 'appear', 'mature', 'melted', 'revealing', 'strong', 'affirmed', 'structure', 'surprising', 'suppleness', 'perfect', 'harmony', 'long', 'persistency', '.']"
https://images.vivino.com/thumbs/-VCSqTjKRqSTHfQDPvG3PA_pb_x600.png,"Château Pichon Baron
Pauillac (Grand Cru Classé) 2020","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Pichon Baron'], ['Grapes', '76% Cabernet Sauvignon, 24% Merlot'], ['France', 'Bordeaux', 'Médoc', 'Pauillac'], ['Wine style', 'Bordeaux Pauillac'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'A wine of great personality with fresh red-fruit and blackberry scents. It is quick to express itself on the palate, rolling out its assertive, powerful character and rich flesh. The finish is very long-lasting, with dense, precise tannins. A finely-balanced wine of substance with firm structure and body.']]", Château Pichon Baron,red, 13%,2020,$198.65,71.9409%;,72.9014%;,9.8723%;,72.1823%;,71.9409,72.9014,9.8723,72.1823,Bordeaux,"["" '76% Cabernet Sauvignon"", "" 24% Merlot'""]","Wine description, A wine of great personality with fresh red-fruit and blackberry scents. It is quick to express itself on the palate, rolling out its assertive, powerful character and rich flesh. The finish is very long-lasting, with dense, precise tannins. A finely-balanced wine of substance with firm structure and body.","['a', 'wine', 'of', 'great', 'personality', 'with', 'fresh', 'redfruit', 'and', 'blackberry', 'scents', '.', 'it', 'is', 'quick', 'to', 'express', 'itself', 'on', 'the', 'palate', 'rolling', 'out', 'its', 'assertive', 'powerful', 'character', 'and', 'rich', 'flesh', '.', 'the', 'finish', 'is', 'very', 'longlasting', 'with', 'dense', 'precise', 'tannins', '.', 'a', 'finelybalanced', 'wine', 'of', 'substance', 'with', 'firm', 'structure', 'and', 'body', '.']","['wine', 'great', 'personality', 'fresh', 'redfruit', 'blackberry', 'scent', '.', 'quick', 'express', 'palate', 'rolling', 'assertive', 'powerful', 'character', 'rich', 'flesh', '.', 'finish', 'longlasting', 'dense', 'precise', 'tannin', '.', 'finelybalanced', 'wine', 'substance', 'firm', 'structure', 'body', '.']"
https://images.vivino.com/thumbs/HFkmMqnATKm3WobR0v4-Og_pb_x600.png,"Château Paran Justice
Saint-Émilion Grand Cru 2019","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Paran Justice'], ['Grapes', 'Merlot, Cabernet Sauvignon, Cabernet Franc'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Bright ruby color, the nose is delicate red fruits and spices in a subtly woody atmosphere. The palate is supple and fresh, accompanied by round tannins. Very good aging potential.']]", Château Paran Justice,red, 14%,2019,$30,69.097%;,56.2515%;,8.88689%;,52.2052%;,69.097,56.2515,8.88689,52.2052,Bordeaux,"["" 'Merlot"", ' Cabernet Sauvignon', "" Cabernet Franc'""]","Wine description, Bright ruby color, the nose is delicate red fruits and spices in a subtly woody atmosphere. The palate is supple and fresh, accompanied by round tannins. Very good aging potential.","['bright', 'ruby', 'color', 'the', 'nose', 'is', 'delicate', 'red', 'fruits', 'and', 'spices', 'in', 'a', 'subtly', 'woody', 'atmosphere', '.', 'the', 'palate', 'is', 'supple', 'and', 'fresh', 'accompanied', 'by', 'round', 'tannins', '.', 'very', 'good', 'aging', 'potential', '.']","['bright', 'ruby', 'color', 'nose', 'delicate', 'red', 'fruit', 'spice', 'subtly', 'woody', 'atmosphere', '.', 'palate', 'supple', 'fresh', 'accompanied', 'round', 'tannin', '.', 'good', 'aging', 'potential', '.']"
https://images.vivino.com/thumbs/OKW47AisSp23ma0nx_4Kdg_pb_x600.png,"Château Rauzan-Ségla
Ségla Margaux 2015","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Rauzan-Ségla'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'Violets, blackberry, cherry and cedar can be found in the nose and taste of the younger wines. As the wine ages, cassis and spicy overtones appear.']]", Château Rauzan-Ségla,red, 14.5%,2015,$84.94,64.373%;,60.9386%;,6.55299%;,69.4768%;,64.373,60.9386,6.55299,69.4768,Bordeaux,"["" '100% Cabernet Sauvignon'""]","Wine description, Violets, blackberry, cherry and cedar can be found in the nose and taste of the younger wines. As the wine ages, cassis and spicy overtones appear.","['violets', 'blackberry', 'cherry', 'and', 'cedar', 'can', 'be', 'found', 'in', 'the', 'nose', 'and', 'taste', 'of', 'the', 'younger', 'wines', '.', 'as', 'the', 'wine', 'ages', 'cassis', 'and', 'spicy', 'overtones', 'appear', '.']","['violet', 'blackberry', 'cherry', 'cedar', 'found', 'nose', 'taste', 'younger', 'wine', '.', 'wine', 'age', 'cassis', 'spicy', 'overtone', 'appear', '.']"
https://images.vivino.com/thumbs/CakMPDnYSnuZ6L0fn88EWQ_pb_x600.png,"Château Léoville Barton
Saint-Julien (Grand Cru Classé) 2006","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Léoville Barton'], ['Grapes', 'Merlot, Cabernet Sauvignon, Cabernet Franc'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'This wine has an opaque dark red violet colour. With lovely herbal, lavender and blackberry notes on the nose. Tart berry, blackberry, black fruit palate with depth and sweet tannins.']]", Château Léoville Barton,red, 13.5%,2006,$249.99,62.7463%;,65.2819%;,9.22987%;,72.8286%;,62.7463,65.2819,9.22987,72.8286,Bordeaux,"["" 'Merlot"", ' Cabernet Sauvignon', "" Cabernet Franc'""]","Wine description, This wine has an opaque dark red violet colour. With lovely herbal, lavender and blackberry notes on the nose. Tart berry, blackberry, black fruit palate with depth and sweet tannins.","['this', 'wine', 'has', 'an', 'opaque', 'dark', 'red', 'violet', 'colour', '.', 'with', 'lovely', 'herbal', 'lavender', 'and', 'blackberry', 'notes', 'on', 'the', 'nose', '.', 'tart', 'berry', 'blackberry', 'black', 'fruit', 'palate', 'with', 'depth', 'and', 'sweet', 'tannins', '.']","['wine', 'ha', 'opaque', 'dark', 'red', 'violet', 'colour', '.', 'lovely', 'herbal', 'lavender', 'blackberry', 'note', 'nose', '.', 'tart', 'berry', 'blackberry', 'black', 'fruit', 'palate', 'depth', 'sweet', 'tannin', '.']"
https://images.vivino.com/thumbs/Gb2ViEV1Sy6_7YsmFM9iSw_pb_x600.png,"Château Rauzan-Ségla
Margaux (Grand Cru Classé) 2016","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Rauzan-Ségla'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'Candied confectionary nose along with some Margaux perfume and flowers. Palate is nicely fresh. Sweet and modern, with rich berry flavours, balanced and nicely proportioned until the finish.']]", Château Rauzan-Ségla,red, 13.5%,2016,$159.95,60.6472%;,64.3779%;,7.61596%;,71.9256%;,60.6472,64.3779,7.61596,71.9256,Bordeaux,"["" '100% Cabernet Sauvignon'""]","Wine description, Candied confectionary nose along with some Margaux perfume and flowers. Palate is nicely fresh. Sweet and modern, with rich berry flavours, balanced and nicely proportioned until the finish.","['candied', 'confectionary', 'nose', 'along', 'with', 'some', 'margaux', 'perfume', 'and', 'flowers', '.', 'palate', 'is', 'nicely', 'fresh', '.', 'sweet', 'and', 'modern', 'with', 'rich', 'berry', 'flavours', 'balanced', 'and', 'nicely', 'proportioned', 'until', 'the', 'finish', '.']","['candied', 'confectionary', 'nose', 'along', 'margaux', 'perfume', 'flower', '.', 'palate', 'nicely', 'fresh', '.', 'sweet', 'modern', 'rich', 'berry', 'flavour', 'balanced', 'nicely', 'proportioned', 'finish', '.']"
