,index,wine_image,name,year,price,bodyPercent,dryOrSweet,Acidic,compareFoods,rating,about_wine
0,0,https://images.vivino.com/thumbs/fEXeQfSiQzOPKUhW8cAhiw_pb_x600.png,"Stéphane Usseglio
Fragments Châteauneuf du Pape 2018",2018,$75,85%;,39.8291%;,44.3797%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.2,"[['Winery', 'Stéphane Usseglio'], ['Grapes', 'Mourvedre, Shiraz/Syrah, Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites']]"
1,1,https://images.vivino.com/thumbs/RC5r7kImR-Kp4cqYPiVsUQ_pb_x600.png,"d'Arbousset
Lirac 2017",2017,$29.99,67.9049%;,50.8472%;,56.1837%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', ""d'Arbousset""], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre, Cinsault'], ['France', 'Rhone Valley', 'Southern Rhône', 'Lirac'], ['Wine style', 'Southern Rhône Red'], ['Allergens', 'Contains sulfites']]"
2,2,https://images.vivino.com/thumbs/Umf23r2dQ3uAXbAfSV5Zbw_pb_x600.png,"Domaine Olivier Hillaire
Châteauneuf-du-Pape 2020",2020,$44.94,85%;,36.8048%;,41.4485%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Domaine Olivier Hillaire'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Cherry with hints of raspberry, violets, tobacco and celery. Pretty, and not overblown or heavy.', 'Dark ruby garnet translucent in the glass.']]"
3,3,https://images.vivino.com/thumbs/J1cv5u1cTmuHabRptZu9Og_pb_x600.png,"Pierre Usseglio
Châteauneuf-du-Pape 2019",2019,$49.94,84.5346%;,39.5271%;,44.4859%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Pierre Usseglio'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'The outstanding 2003 Chateauneuf du Pape Tradition is a full-bodied, peppery wine that oozes the character of Provence with its notes of lavender, herbes de Provence, and sweet black cherries and raspberries. Some licorice, saddle leather, and salty sea breeze notes also make it into the character of this full-bodied, concentrated wine which is silky enough to be drunk now or cellared for 10-12 years.']]"
4,4,https://images.vivino.com/thumbs/jAo-cjfbRgu78khdptVGog_pb_x600.png,"Domaine des Espiers
Gigondas Les Grames 2019",2019,$31.99,67.971%;,46.0533%;,51.3726%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Domaine des Espiers'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Gigondas'], ['Wine style', 'Southern Rhône Red'], ['Allergens', 'Contains sulfites']]"
5,5,https://images.vivino.com/thumbs/FtBHkcjYS4C00aFZpB9P4Q_pb_x600.png,"Le Clos des Cazaux
Prestige 2020",2020,$49.99,67.6143%;,44.0044%;,49.843%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Le Clos des Cazaux'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Gigondas'], ['Wine style', 'Southern Rhône Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Ruby red with deep purple hues and supported.Expressive and complex opening with notes of licorice, but also coffee, cocoa, small wild red fruit and garrigue. Concentrated, rich and suave supported by elegant tannins. A harmonious and balanced finish recalling blackcurrant.']]"
6,6,https://images.vivino.com/thumbs/kyDbF8yCQOax2Kq0qB9R0Q_pb_x600.png,"Domaine du Père Caboche
Châteauneuf-du-Pape 2022",2022,$34.60,85%;,40.0601%;,44.0673%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Domaine du Père Caboche'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'The color is ruby red with purple highlights. The nose is delicate, marked by aromas of jammy red and black fruits, soft spices and wild brush. The mouth is expressive and well-rounded with a dominating taste of ripe fruits, embellished with hints of liquorice and spice. The nish is long and fruity.']]"
7,7,https://images.vivino.com/thumbs/QCoiPucuRqyttaWhFSPsXA_pb_x600.png,"Château Pesquie
Ventoux Artemia 2020",2020,$36.74,66.816%;,48.6745%;,54.8884%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Pesquie'], ['Grapes', '100% Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Ventoux'], ['Wine style', 'Southern Rhône Red'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'It has very aromatic nose with grilled and black berries note and a nice minerality the very balanced mouth associates fruit and power the unctuousness and the spices from old grenache']]"
8,8,https://images.vivino.com/thumbs/Cq8tuMZ0QVeFn2zEpZfiPQ_pb_x600.png,"Pères de l'Église
Le Calice de Saint Pierre Châteauneuf-du-Pape Rouge 2022",2022,$48.29,82.8158%;,38.2891%;,46.4709%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', ""Pères de l'Église""], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites']]"
9,9,https://images.vivino.com/thumbs/GPrZHIP9TOiG3Ta08Tnp6A_pb_x600.png,"Paul Autard
Châteauneuf-du-Pape 2020",2020,$47.24,85%;,39.3746%;,45.5976%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Paul Autard'], ['Grapes', 'Grenache, Mourvedre, Shiraz/Syrah'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Ruby-red. Remarkably expressive bouquet of musky plum, cherry, lavender, rose oil and cured tobacco. Dense and chewy, with deeply concentrated cherry and dark berry flavors; exotic spice notes build with air. Finishes impressively deep and rich, with firm tannins supporting the intense cherry/berry fruit.']]"
