,index,wine_image,name,year,price,bodyPercent,dryOrSweet,Acidic,compareFoods,rating,about_wine
0,0,https://images.vivino.com/thumbs/ZZ7B6x7-TNucy0v7EWaHqw_pb_x600.png,"E. Guigal
Ermitage Ex-Voto 2018",2018,$500,82.7338%;,69.9444%;,56.4577%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Eye : Deep dark ruby colour with mauve tints.', 'Nose : Black fruits, leather, liquorice, coffee flavour and oriental spices.', 'Palate : Powerful attack with richness and an important tannic structure. This wine expression fully the terroir trough its finesse and the strength of its tannins.', 'Overall : Great ageing potential, structured and concentrated with a rare intensity of flavour and colour.']]"
1,1,https://images.vivino.com/thumbs/aJISsgMpQSqzwzG4Rs8msQ_pb_x600.png,"Roger Sabon
Châteauneuf-du-Pape Le Secret Des Sabon 2020",2020,$250,78.0466%;,39.5604%;,46.7192%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Roger Sabon'], ['Grapes', '100% Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15.5%'], ['Allergens', 'Contains sulfites']]"
2,2,https://images.vivino.com/thumbs/fEXeQfSiQzOPKUhW8cAhiw_pb_x600.png,"Stéphane Usseglio
Fragments Châteauneuf du Pape 2018",2018,$75,85%;,39.8291%;,44.3797%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.2,"[['Winery', 'Stéphane Usseglio'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites']]"
3,3,https://images.vivino.com/thumbs/sEtWZCfkQZCi0x8c_FAIqg_pb_x600.png,"Paul Jaboulet Aîné
Hermitage La Petite Chapelle 2014",2014,$300,85%;,67.2871%;,53.9848%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Paul Jaboulet Aîné'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'It has intense and aromatic with sweet spices, floral notes as well as very ripe fruit. Powerful and harmonious and a very long finish.']]"
4,4,https://images.vivino.com/thumbs/HYVZMFigQ5qXxni7s9SpWw_pb_x600.png,"E. Guigal
Côte-Rôtie La Mouline 2018",2018,$501.50,66.6169%;,64.1945%;,64.353%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'Visual : Deep ruby red with bright red highlights.', 'Nose : Small red fruits, blackberry and floral aromas of violets, powerful ... but fine aromatic intensity.', ""Palate : Entry into very soft mouth and beautiful harmony between the wine's bouquet and explosive richness due to the concentration of this wine."", 'Ensemble : female wine with voluptuous texture silky velvety, intensely aromatic.']]"
5,5,https://images.vivino.com/thumbs/ef3LDfDxSRit60wSsGYW6A_pb_x600.png,"E. Guigal
Côte-Rôtie La Turque 2018",2018,$501.50,69.941%;,66.4626%;,64.435%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'To the eye, its ruby red dress reveals pretty dark reflections . The nose of red berry, cherry and blackberry fruit is marked by a lingering aroma and an elegant intensity. The palate is soft with fine tannins and the same red fruit notes on the nose.']]"
6,6,https://images.vivino.com/thumbs/25fLonL3QPGNDB8T6q87CQ_pb_x600.png,"M. Chapoutier
Ermitage l'Ermite 2011",2011,$905.09,81.8494%;,69.2983%;,56.2876%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'M. Chapoutier'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Garnet very dark almost black. Black fruit with notes of spices and ink. Powerful tannins and both velvety, smoky notes, pepper Syrah beautifully expresses this granite soil.']]"
7,7,https://images.vivino.com/thumbs/NrlvsPi6SwyB9jik0iYS0Q_pb_x600.png,"Domaine Jean-Louis Chave
Clos Florentin 2015",2015,$399.99,75.4618%;,52.5616%;,54.532%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'Domaine Jean-Louis Chave'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Saint-Joseph'], ['Wine style', 'Northern Rhône Saint-Joseph'], ['Allergens', 'Contains sulfites']]"
8,8,https://images.vivino.com/thumbs/aspf1zoiTceU5RI9OIY8ew_pb_x600.png,"Domaine Jean-Louis Chave
L'Hermitage 2014",2014,$833,80.8495%;,69.4019%;,55.717%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'Domaine Jean-Louis Chave'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites']]"
9,9,https://images.vivino.com/thumbs/x0HbDVIhT8KHdfuFoAdB0w_pb_x600.png,"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2005",2005,$998,83.3728%;,39.9899%;,45.2795%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.7,"[['Winery', 'Château de Beaucastel'], ['Grapes', '100% Aglianico'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '12.5%'], ['Allergens', 'Contains sulfites']]"
