,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Louis Jadot
Chambertin Clos de Beze Grand Cru 2016",2016,$501.50,48.3908%;,35.5523%;,12.5024%;,70.9876%;
1,"Louis Jadot
Chambolle-Musigny Les Fuées 2020",2020,$176.95,39.4933%;,30.8318%;,11.7348%;,70.6641%;
2,"Louis Jadot
Bonnes Mares Grand Cru 2020",2020,$589.95,45.6158%;,37.3723%;,8.33778%;,69.8092%;
3,"Domaine Humbert Frères
Vieilles Vignes Gevrey-Chambertin 2017",2017,$94.35,44.4728%;,34.4093%;,7.19868%;,64.3355%;
4,"Domaine des Comtes Lafon
Volnay Clos des Chênes Premier Cru 2019",2019,$230.10,32.9217%;,22.1133%;,5.51471%;,67.2405%;
5,"Domaine des Comtes Lafon
Volnay Clos des Chênes Premier Cru 2018",2018,$224.20,32.9217%;,22.1133%;,5.51471%;,67.2405%;
6,"Hudelot-Noëllat
Clos de Vougeot Grand Cru 2020",2020,$489.70,45.4542%;,34.3796%;,15.2164%;,71.5278%;
7,"Joseph Drouhin
Vosne-Romanée 2019",2019,$117.95,37.394%;,30.299%;,5.26402%;,71.2516%;
8,"Domaine Marquis d'Angerville
Volnay 1er Cru 'Clos des Ducs' Monopole 2021",2021,$942.82,36.3525%;,27.4942%;,12.002%;,64.3239%;
9,"Domaine des Comtes Lafon
Volnay Santenots-Du-Milieu Premier Cru 2020",2020,$247.80,36.6708%;,28.9438%;,8.59141%;,63.9107%;
10,"Domaine Marquis d'Angerville
Volnay Champans 1er Cru 2021",2021,$247.75,37.2043%;,28.4641%;,11.8755%;,64.2395%;
11,"Michel Noëllat
Fixin 2020",2020,$70.75,45.605%;,36.5521%;,5.35598%;,65.6983%;
12,"Domaine Arlaud
Les Ruchots Morey-St-Denis 1er Cru 2020",2020,$145.95,44.4426%;,35.6233%;,11.9731%;,74.4707%;
13,"Domaine Faiveley
Chambertin Clos de Bèze Grand Cru 2019",2019,$646.95,45.7337%;,36.4032%;,9.27265%;,71.4908%;
14,"Guy & Yvan Dufouleur
Les Creux - Fraîches Eaux Nuits-Saint-Georges 2019",2019,$69.95,54.802%;,37.2228%;,16.8688%;,79.6312%;
15,"Domaine Michel Mallard
Corton Le Rognet Grand Cru 2021",2021,$189.99,36.0177%;,23.5703%;,11.7002%;,63.4917%;
16,"Mommessin
La Forge de Tart Morey-Saint-Denis Premier Cru 2019",2019,$406.99,43.6915%;,35.6846%;,6.97927%;,70.8633%;
17,"Joseph Drouhin
Aloxe-Corton 2018",2018,$98.99,30.7645%;,23.855%;,0.0578425%;,62.2886%;
18,"Domaine Ponsot
Morey-Saint-Denis Premier Cru Cuvée des Alouettes 2017",2017,$252.99,43.3514%;,34.5257%;,14.0429%;,71.537%;
19,"Domaine de Courcel
Pommard Premier Cru 'Grand Clos des Épenots' 2012",2012,$89.95,42.5449%;,34.9721%;,7.73141%;,63.767%;
20,"Bouchard Père & Fils
Vigne de l'Enfant Jésus Beaune 1er Cru 'Les Grèves' 2021",2021,$179.98,34.9407%;,24.5529%;,10.3734%;,62.3502%;
21,"Dugat-Py
Vieilles Vignes Gevrey-Chambertin 1er Cru 'Petite Chapelle' 2011",2011,$299.95,42.1833%;,35.8698%;,11.7218%;,70.675%;
22,"Domaine de la Vougeraie
Monopole Nuits-Saint-Georges 1er Cru 'Clos de Thorey' 2013",2013,$89.95,36.3685%;,31.975%;,4.02609%;,67.2412%;
23,"Domaine de Courcel
Pommard Premier Cru 'Les Fremiers' 2012",2012,$89.95,38.1771%;,32.37%;,0px;,66.7109%;
24,"Château de Meursault
Pommard Premier Cru Clos Des Epenots 2014",2014,$129.95,38.1114%;,26.7755%;,7.79833%;,63.9096%;
25,"Domaine Jean Grivot
Nuits-Saint-Georges 1er Cru 'Aux Boudots' 2021",2021,$329.69,42.7028%;,32.5939%;,9.11814%;,71.3667%;
26,"Domaine Tollot-Beaut
Corton Grand Cru 2021",2021,$186.89,42.7042%;,26.3265%;,19.5466%;,65.9098%;
27,"Domaine Nicolas Rossignol
Volnay 1er Cru 'Clos des Angles' 2015",2015,$258.29,35.552%;,24.2821%;,7.43466%;,60.2552%;
28,"Mongeard-Mugneret
Echezeaux Grand Cru 2020",2020,$286.64,41.6673%;,33.9679%;,12.7298%;,71.0744%;
29,"Louis Latour
Chambertin Grand Cru Cuvée Héritiers Latour 2019",2019,$724.49,40.2015%;,34.7811%;,17.743%;,68.2829%;
30,"Louis Jadot
Échezeaux Grand Cru 2021",2021,$419.99,34.6903%;,30.3284%;,18.041%;,67.847%;
31,"Mongeard-Mugneret
Vosne-Romanée 1er Cru Les Orveaux 2021",2021,$263.54,38.7231%;,32.6344%;,7.54112%;,73.1699%;
32,"Mongeard-Mugneret
Echezeaux Grand Cru 2021",2021,$397.94,41.6673%;,33.9679%;,12.7298%;,71.0744%;
33,"Domaine Jean Grivot
Clos de Vougeot Grand Cru 2020",2020,$548.09,44.9258%;,38.5111%;,8.98501%;,73.2472%;
34,"Domaine Coillot
Gevrey-Chambertin Vieilles Vignes 2019",2019,$93.44,47.871%;,32.7194%;,5.29494%;,74.3925%;
35,"Louis Latour
Echézeaux Grand Cru 2019",2019,$608.99,40.8207%;,37.1785%;,1.16834%;,68.9973%;
36,"Louis Latour
Clos Vougeot Grand Cru 2019",2019,$488.24,43.8299%;,29.5668%;,9.34939%;,72.0647%;
37,"Domaine Pierre Gelin
Fixin 1er Cru 'Clos Napoléon' 2020",2020,$123.89,42.0021%;,31.9844%;,11.1918%;,66.6879%;
38,"Domaine Armelle et Bernard Rion
Vieilles Vignes Vosne-Romanée 1er Cru 'Les Chaumes' 2021",2021,$209.99,45.8503%;,29.5745%;,7.18626%;,70.6643%;
39,"Domaine Nicolas Rossignol
Volnay 2017",2017,$167.99,32.0817%;,24.2799%;,7.1457%;,62.1932%;
40,"Domaine Nicolas Rossignol
Pommard 'Les Vignots' 2017",2017,$109.19,37.0719%;,24.9959%;,4.46832%;,60.4169%;
41,"Chandon de Briailles
Corton Grand Cru 'Les Bressandes' 2016",2016,$326.54,42.1587%;,28.7733%;,1.50837%;,60.9876%;
42,"Domaine des Lambrays
Morey-Saint-Denis Premier Cru Les Loups 2020",2020,$221.54,43.1821%;,32.882%;,6.42557%;,71.6969%;
43,"Domaine des Perdrix
Nuits-Saint-Georges Aux Perdrix Premier Cru 2020",2020,$188.99,45.0036%;,34.5259%;,9.41829%;,70.7903%;
