,wine_image,name,year,price,bodyPercent,Sugar,Acidic,compareFoods,rating,about_wine,Winery,Type,Grape_Type,Alcohol
1569,https://images.vivino.com/thumbs/mbKVeYHvQMOxcTYOBFFknw_pb_x600.png,"J. Moreau & Fils
Chablis 1er Cru 'Mont de Milieu' 2018",2018,$60,38.7163%;,0%;,68.764%;,"['https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/13_shellfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/35_softcheese_932x810.png']",4.2,"[['Winery', 'J. Moreau & Fils'], ['Grapes', '100% Chardonnay'], ['France', 'Bourgogne', 'Chablis', 'Chablis Premier Cru', ""Chablis 1er Cru 'Mont de Milieu'""], ['Wine style', 'Burgundy Chablis'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Visual: Pale gold in colour.', 'Nose: Fine nose reminiscent of lemon, grapefruit, and chlorophyll.', 'Palate: Elegant, supple and fruity, with exotic fruit and butter flavours. Good length.']]", J. Moreau & Fils,white,"[' 100% Chardonnay', ' ']", 13%
1570,https://images.vivino.com/thumbs/PGNxUcy_Qoa3dbaluceuog_pb_x600.png,"Pierre Girardin
Batard-Montrachet Grand Cru 2021",2021,$885,60.5846%;,15.2423%;,49.6635%;,"['https://images.vivino.com/backgrounds/foods/thumbs/13_shellfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/5_pasta_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/35_softcheese_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/41_curedmeat_932x810.png']",4.8,"[['Winery', 'Pierre Girardin'], ['Grapes', 'Chardonnay'], ['France', 'Bourgogne', 'Côte de Beaune', 'Puligny-Montrachet', 'Bâtard-Montrachet Grand Cru'], ['Wine style', 'Burgundy Côte de Beaune White'], ['Allergens', 'Contains sulfites']]", Pierre Girardin,white,"[' Chardonnay', ' ']", Contains sulfites
1571,https://images.vivino.com/thumbs/fOSaJ4sSR8yql2YC9VUMCg_pb_x600.png,"Lucien le Moine
Chevalier-Montrachet Grand Cru 2016",2016,$795,70.4151%;,23.933%;,49.1196%;,"['https://images.vivino.com/backgrounds/foods/thumbs/13_shellfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/5_pasta_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/35_softcheese_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/41_curedmeat_932x810.png']",4.8,"[['Winery', 'Lucien le Moine'], ['Grapes', 'Chardonnay'], ['France', 'Bourgogne', 'Côte de Beaune', 'Puligny-Montrachet', 'Chevalier-Montrachet Grand Cru'], ['Wine style', 'Burgundy Côte de Beaune White'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'It has ripe apple, pear, wet stone, mint, spices and lavender, plus an almost smoky minerality. Sapply, pure and complex, conveying a strong impression of chewy extract. Not an exuberant style but boasts outstanding inner-mouth energy and finishes tight, stony and very long.']]", Lucien le Moine,white,"[' Chardonnay', ' ']", 13.5%
1572,https://images.vivino.com/thumbs/qhSRAmvISw-I2Wbf1XeDMA_pb_x600.png,"Domaine Jean-Louis Chave
L'Hermitage Blanc 2016",2016,$336.30,59.5334%;,22.6777%;,26.4655%;,"['https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/17_hardcheese_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/41_curedmeat_932x810.png']",4.7,"[['Winery', 'Domaine Jean-Louis Chave'], ['Grapes', '100% Marsanne'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône White'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites']]", Domaine Jean-Louis Chave,white,"[' 100% Marsanne', ' ']", 14.5%
1573,https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x600.png,"Joseph Drouhin
Montrachet Grand Cru Marquis de Laguiche 1998",1998,$724.99,63.3034%;,17.0537%;,45.3083%;,"['https://images.vivino.com/backgrounds/foods/thumbs/13_shellfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/5_pasta_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/35_softcheese_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/41_curedmeat_932x810.png']",4.7,"[['Winery', 'Joseph Drouhin'], ['Grapes', 'Chardonnay'], ['France', 'Bourgogne', 'Côte de Beaune', 'Puligny-Montrachet', 'Montrachet Grand Cru'], ['Wine style', 'Burgundy Côte de Beaune White'], ['Allergens', 'Contains sulfites'], ['Wine description', 'An authentic masterpiece! This wine should be regarded as the yardstick by which all other Burgundies should be judged. The colour has a splendid golden sheen. On the nose, a multitude of aromas are a pleasure to discover: floral notes of lily of the valley, peach blossom, exotic fruit, honey, grilled almonds, even exotic woods at times. On the palate,', 'the structure is dominated by a harmonious roundness which never imparts any heaviness. The aftertaste is exceptionally long and enhances the finesse of the whole. A glorious symphony of sensations!']]", Joseph Drouhin,white,"[' Chardonnay', ' ']", Contains sulfites
1574,https://images.vivino.com/thumbs/C2S119RERbOmK45j8WrdQw_pb_x600.png,"Jean Chartron
Chevalier-Montrachet Grand Cru 'Clos des Chevaliers' Monopole 2018",2018,$761.51,62.4487%;,7.0449%;,53.7911%;,"['https://images.vivino.com/backgrounds/foods/thumbs/13_shellfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/5_pasta_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/35_softcheese_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/41_curedmeat_932x810.png']",4.7,"[['Winery', 'Jean Chartron'], ['Grapes', '100% Chardonnay'], ['France', 'Bourgogne', 'Côte de Beaune', 'Puligny-Montrachet', 'Chevalier-Montrachet Grand Cru'], ['Wine style', 'Burgundy Côte de Beaune White'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'A golden helmet with green sparkles it breathes aromas of sun warmed white stones and hawthorn. Balanced and precise on the palate it’s after a long path that it opens the tastebuds with a saline persistence as from far away seas.']]", Jean Chartron,white,"[' 100% Chardonnay', ' ']", 14%
1575,https://images.vivino.com/thumbs/8UJCVdBiRTKm9LMYcZHAsQ_pb_x600.png,"Louis Latour
Corton-Charlemagne Grand Cru 2018",2018,$209.99,62.7514%;,8.30625%;,47.1261%;,"['https://images.vivino.com/backgrounds/foods/thumbs/13_shellfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/5_pasta_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/35_softcheese_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/41_curedmeat_932x810.png']",4.6,"[['Winery', 'Louis Latour'], ['Grapes', '100% Chardonnay'], ['France', 'Bourgogne', 'Côte de Beaune', 'Corton Grand Cru', 'Corton-Charlemagne Grand Cru'], ['Wine style', 'Burgundy Côte de Beaune White'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens'], ['Wine description', 'It is beautiful yellow in colour with light golden tints. Powerful aromas of fresh almond emerge accompanied by nice mellow oaky notes. It is an ample wine with good length.']]", Louis Latour,white,"[' 100% Chardonnay', ' ']", 13%
1576,https://images.vivino.com/thumbs/wGAxsLWnT0i0p86KHxqN4A_pb_x600.png,"Domaine des Héritiers Louis Jadot
Chevalier Montrachet Grand Cru Les Demoiselles 2016",2016,$588.82,61.5591%;,9.43899%;,48.0107%;,"['https://images.vivino.com/backgrounds/foods/thumbs/13_shellfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/5_pasta_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/35_softcheese_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/41_curedmeat_932x810.png']",4.6,"[['Winery', 'Domaine des Héritiers Louis Jadot'], ['Grapes', '100% Chardonnay'], ['France', 'Bourgogne', 'Côte de Beaune', 'Puligny-Montrachet', 'Chevalier-Montrachet Grand Cru'], ['Wine style', 'Burgundy Côte de Beaune White'], ['Allergens', 'Contains sulfites'], ['Wine description', 'It has concentration and complexity. Its bright, golden colour and penetrating fragrance of toast and honey predict the rich, mellow fruit flavours, velvety elegance and intense finish of this wine of exceptional grace and breed.']]", Domaine des Héritiers Louis Jadot,white,"[' 100% Chardonnay', ' ']", Contains sulfites
1577,https://images.vivino.com/thumbs/qhSRAmvISw-I2Wbf1XeDMA_pb_x600.png,"Domaine Jean-Louis Chave
L'Hermitage Blanc 2018",2018,$352.82,59.5334%;,22.6777%;,26.4655%;,"['https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/17_hardcheese_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/41_curedmeat_932x810.png']",4.6,"[['Winery', 'Domaine Jean-Louis Chave'], ['Grapes', 'Roussanne, Marsanne'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône White'], ['Alcohol content', '12%'], ['Allergens', 'Contains sulfites']]", Domaine Jean-Louis Chave,white,"[' Roussanne', ' Marsanne', ' ']", 12%
1578,https://images.vivino.com/thumbs/p1f0MpDjTAi4BN-Dp_LMHQ_pb_x600.png,"Château-Grillet
Blanc 2018",2018,$582.99,50.6767%;,18.7856%;,29.3804%;,"['https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/12_richfish_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/17_hardcheese_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/41_curedmeat_932x810.png']",4.6,"[['Winery', 'Château-Grillet'], ['Grapes', '100% Viognier'], ['France', 'Rhone Valley', 'Northern Rhône', 'Château-Grillet'], ['Wine style', 'Northern Rhône White'], ['Allergens', 'Contains sulfites'], ['Wine description', 'A remarkably balanced wine with a very nice acidity, Wine is perfectly in line with truffled foie gras, roasted turbot, braised lobster, scallops or poultry from Bresse cream. Alliances with Asian gastronomy and spicy dishes or sweet-sour flavors can also give wonderful experiences.']]", Château-Grillet,white,"[' 100% Viognier', ' ']", Contains sulfites
