,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Domaine Faiveley
Clos de Vougeot Grand Cru 2021",2021,$482.67,42.5731%;,35.5865%;,10.0663%;,69.9895%;
1,"Jacques-Frederic Mugnier
Nuits-Saint-Georges Premier Cru 'Clos de la Maréchale' 2020",2020,$239.99,41.1221%;,32.6618%;,11.0228%;,69.6476%;
2,"Domaine de Bellène
Hommage à Françoise Potel Vieilles Vignes Beaune Premier Cru 2021",2021,$124.99,35.0996%;,15.4077%;,14.1805%;,63.0176%;
3,"Château de la Tour
Vieilles Vignes Clos Vougeot Grand Cru 2015",2015,$399.95,45.4508%;,35.8906%;,13.7492%;,70.8812%;
4,"Louis Jadot
Clos Saint-Denis Grand Cru 2019",2019,$435,40.5103%;,37.2882%;,8.8063%;,73.5201%;
5,"Joseph Drouhin
Pommard 2019",2019,$116.19,32.2325%;,25.959%;,5.77949%;,61.6435%;
6,"Joseph Drouhin
Corton Grand Cru 2019",2019,$274.53,45.494%;,29.8054%;,2.84879%;,65.6295%;
7,"Manuel Olivier
Beaune 1er Cru 'Les Épenottes' 2020",2020,$70,30.0778%;,23.756%;,13.1871%;,62.524%;
8,"Domaine Jacques Prieur
Volnay-Santenots 1er Cru 2019",2019,$266.25,39.0895%;,23.1865%;,8.08761%;,59.8918%;
9,"Louis Jadot
Charmes Chambertin Grand Cru 2019",2019,$315,44.9002%;,39.6323%;,7.91478%;,75.0375%;
10,"La Pousse d'Or
Volnay 1er Cru 'Clos d'Audignac' (Monopole) 2016",2016,$125,33.3983%;,22.938%;,8.36882%;,59.3805%;
11,"Joseph Drouhin
Clos de La Roche Grand Cru 2019",2019,$333.49,38.3534%;,29.1851%;,3.26943%;,67.7576%;
12,"Joseph Drouhin
Vosne-Romanée 2020",2020,$119,37.394%;,30.299%;,5.26402%;,71.2516%;
13,"Joseph Drouhin
Charmes-Chambertin Grand Cru 2020",2020,$391.48,42.6404%;,30.5658%;,15.4593%;,70.4341%;
14,"Joseph Drouhin
Corton Grand Cru 2020",2020,$307.99,45.494%;,29.8054%;,2.84879%;,65.6295%;
15,"Joseph Drouhin
Corton Grand Cru 2021",2021,$361.53,45.494%;,29.8054%;,2.84879%;,65.6295%;
16,"Joseph Drouhin
Clos de La Roche Grand Cru 2017",2017,$325,38.3534%;,29.1851%;,3.26943%;,67.7576%;
17,"Château Philippe-Le-Hardi
Chambolle-Musigny 2020",2020,$90.21,41.4564%;,32.5298%;,0px;,80%;
