,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Gérard Raphet
Vieilles Vignes Clos de Vougeot Grand Cru 2016",2016,$234.82,45.1808%;,46.9633%;,11.2392%;,72.0547%;
1,"Claude Dugat
Charmes-Chambertin Grand Cru 2020",2020,$855.50,47.7657%;,35.1357%;,19.6606%;,69.1789%;
2,"Louis Jadot
Clos Vougeot Grand Cru 2017",2017,$211.22,45.7446%;,36.9708%;,5.7033%;,72.4668%;
3,"Domaine Nicole Lamarche (François Lamarche)
Clos de Vougeot Grand Cru 2017",2017,$247.80,45.7446%;,36.9708%;,5.7033%;,72.4668%;
4,"Pierre Girardin
Gevrey-Chambertin Premier Cru 'Lavaux Saint-Jacques' 2021",2021,$265.50,48.7523%;,43.5482%;,9.26376%;,71.945%;
5,"Robert Groffier
Bonnes-Mares Grand Cru 2009",2009,$824.82,43.8592%;,32.0094%;,20.94%;,68.9522%;
6,"Pierre Girardin
Vosne-Romanée 2020",2020,$141.55,37.3508%;,26.8161%;,9.60929%;,74.6721%;
7,"Louis Jadot
Chapelle-Chambertin Grand Cru 2019",2019,$306.80,43.0501%;,36.843%;,8.7025%;,74.2735%;
8,"Méo-Camuzet
Corton Grand Cru 'Les Perrières' 2020",2020,$442.50,34.3834%;,23.208%;,8.58241%;,66.9452%;
9,"Louis Jadot
Chapelle-Chambertin Grand Cru 2021",2021,$411.82,43.0501%;,36.843%;,8.7025%;,74.2735%;
10,"Joseph Drouhin
Vosne-Romanée Premier Cru 'Petits Monts' 2021",2021,$706.82,42.8299%;,29.2072%;,0px;,68.9101%;
