,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Famille Perrin
Châteauneuf-du-Pape Les Sinards Rouge 2020",2020,$56.97,83.866%;,37.5741%;,7.69015%;,43.9064%;
1,"Domaine Charité
La Fleur de Capucine Châteauneuf-du-Pape 2018",2018,$56.99,85%;,41.9038%;,5.77492%;,38.2405%;
2,"Jean-Luc Colombo
Châteauneuf-du-Pape Les Bartavelles 2016",2016,$58.33,85%;,38.9989%;,5.15845%;,45.1588%;
3,"Rotem & Mounir Saouma
Amph III Crau Châteauneuf-du-Pape 2021",2021,$199.99,67.8623%;,46.4855%;,0px;,48.5072%;
4,"Domaine Philippe et Vincent Jaboulet
Ermitage Rouge 2011",2011,$119.99,83.3351%;,66.7183%;,3.53002%;,52.554%;
5,"Rotem & Mounir Saouma
Omnia Châteauneuf-du-Pape 2020",2020,$129.99,78.2383%;,39.6449%;,8.45092%;,45.4603%;
6,"Domaine du Père Caboche
Vieilles Vignes Elisabeth Chambellan Châteauneuf-du-Pape 2022",2022,$33.33,85%;,38.432%;,5.60246%;,45.4159%;
7,"Domaine du Coulet - Matthieu Barret
Brise Cailloux Cornas 2020",2020,$72,85%;,51.88%;,8.80976%;,56.6946%;
8,"Domaine du Vieux Télégraphe
Télégramme Châteauneuf-du-Pape 2021",2021,$57.65,82.0464%;,40.35%;,5.56647%;,47.0839%;
9,"Château de Nalys
Châteauneuf-du-Pape Rouge 2019",2019,$129.99,83.6389%;,38.808%;,9.13121%;,44.7517%;
10,"Rotem & Mounir Saouma
Amph III Crau Châteauneuf-du-Pape 2020",2020,$199.99,67.8623%;,46.4855%;,0px;,48.5072%;
11,"Rotem & Mounir Saouma
Amph III Crau Châteauneuf-du-Pape 2019",2019,$199.99,67.8623%;,46.4855%;,0px;,48.5072%;
12,"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape Cuvée Barberini 2017",2017,$129.99,85%;,39.0621%;,17.1404%;,43.2967%;
13,"Domaine du Coulet - Matthieu Barret
Billes Noires Cornas 2017",2017,$126.33,81.7929%;,50.0895%;,6.23008%;,55.3483%;
14,"Domaine Faury
Emporium Côte-Rôtie 2019",2019,$111.99,73.2766%;,61.0312%;,18.6375%;,59.0922%;
15,"Cave de Tain
Arènes Sauvages Cornas Rouge 2017",2017,$107.99,85%;,49.0214%;,4.19192%;,55.1491%;
16,"Jean-Luc Colombo
Syrah Cornas Les Ruchets 2016",2016,$122.67,85%;,50.2869%;,9.1738%;,56.1419%;
17,"Domaine Jean-Michel Stéphan
Côte-Rôtie Côteaux de Tupin 2020",2020,$184,76.8288%;,69.2749%;,10.9426%;,65.1175%;
18,"Domaine Garon
Jardins de Rome Syrah de Seyssuel 2020",2020,$54.99,63.5735%;,58.9523%;,0px;,62.708%;
19,"Piedlong
Châteauneuf-du-Pape 2020",2020,$79.99,81.4463%;,38.9791%;,8.04807%;,46.2366%;
20,"Château Mont-Redon
Châteauneuf-du-Pape 2019",2019,$47.85,85%;,38.4515%;,6.41407%;,43.9535%;
21,"Biscarelle
Châteauneuf-du-Pape 2019",2019,$49.99,85%;,48.4951%;,5.45%;,49.2004%;
22,"Comte de Lauze
Châteauneuf-du-Pape Rouge 2017",2017,$39.99,84.3183%;,43.4028%;,7.24818%;,47.5717%;
23,"Rotem & Mounir Saouma
Amph III Crau Châteauneuf-du-Pape 2017",2017,$279.99,67.8623%;,46.4855%;,0px;,48.5072%;
24,"Jean-Luc Colombo
Syrah Cornas La Louvée 2012",2012,$248,75.0205%;,47.2005%;,5.15082%;,54.3777%;
25,"Domaine Raspail-Ay
Gigondas 2019",2019,$61.17,66.013%;,50.1916%;,7.43884%;,52.5064%;
26,"Domaine du Vieux Lazaret
Châteauneuf-du-Pape 2020",2020,$64.99,83.9381%;,37.9986%;,7.38732%;,45.3013%;
27,"Château de Saint Cosme
Gigondas Hominis Fides 2020",2020,$169.99,64.3479%;,52.7842%;,7.26797%;,55.355%;
28,"Louis Bernard
Châteauneuf-du-Pape 2020",2020,$64.99,85%;,36.8472%;,5.74764%;,42.7724%;
29,"M. Chapoutier
Châteauneuf-du-Pape La Bernardine 2019",2019,$68.83,82.6599%;,38.4786%;,7.20969%;,44.5317%;
30,"Domaine Chante Cigale
Châteauneuf-du-Pape 2021",2021,$49.99,85%;,39.8999%;,6.74783%;,44.6681%;
31,"Vincent Paris
Granit 30 Cornas 2021",2021,$56.08,85%;,51.6097%;,8.70077%;,56.7274%;
32,"Cellier des Princes
Le Blason du Prince Châteauneuf-du-Pape 2021",2021,$37.50,84.8209%;,40.5533%;,4.01546%;,45.2808%;
33,"Clos des Brusquieres
Châteauneuf-du-Pape 2021",2021,$50.25,85%;,39.5602%;,10.4182%;,44.2152%;
34,"Vignobles Mayard
Clos du Calvaire Châteauneuf-du-Pape 2020",2020,$58.99,85%;,39.8518%;,6.80126%;,45.1785%;
35,"Château de Saint Cosme
Gigondas 2018",2018,$59.99,66.5193%;,51.9377%;,8.9478%;,54.402%;
36,"Les Alliés
Châteauneuf-du-Pape 2020",2020,$38.50,83.144%;,42.8094%;,4.51827%;,44.7899%;
37,"Barton & Guestier
Les Roches Noires Châteauneuf-du-Pape 2021",2021,$59.15,84.9751%;,42.8805%;,6.0828%;,45.7967%;
