name,year,price,bodyPercent,Tanning,Sugar,Acidic
"Roger Sabon
Châteauneuf-du-Pape Le Secret Des Sabon 2020",2020,$250,78.0466%;,39.5604%;,16.5691%;,46.7192%;
"E. Guigal
Ermitage Ex-Voto 2018",2018,$500,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"Stéphane Usseglio
Fragments Châteauneuf du Pape 2018",2018,$75,85%;,39.8291%;,0px;,44.3797%;
"Paul Jaboulet Aîné
Hermitage La Petite Chapelle 2014",2014,$300,85%;,67.2871%;,11.9874%;,53.9848%;
"E. Guigal
Côte-Rôtie La Mouline 2018",2018,$501.50,66.6169%;,64.1945%;,10.2499%;,64.353%;
"E. Guigal
Côte-Rôtie La Turque 2018",2018,$501.50,69.941%;,66.4626%;,10.2517%;,64.435%;
"M. Chapoutier
Ermitage l'Ermite 2011",2011,$905.09,81.8494%;,69.2983%;,10.3532%;,56.2876%;
"Domaine Jean-Louis Chave
Clos Florentin 2015",2015,$399.99,75.4618%;,52.5616%;,12.5493%;,54.532%;
"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2005",2005,$998,83.3728%;,39.9899%;,11.8831%;,45.2795%;
"Domaine Jean-Louis Chave
L'Hermitage 2014",2014,$833,80.8495%;,69.4019%;,8.80194%;,55.717%;
"E. Guigal
Côte-Rôtie La Landonne 2015",2015,$922,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"Domaine Jean-Louis Chave
L'Hermitage 2018",2018,$549.99,80.8495%;,69.4019%;,8.80194%;,55.717%;
"Domaine Jean-Louis Chave
L'Hermitage 2020",2020,$499.99,80.8495%;,69.4019%;,8.80194%;,55.717%;
"E. Guigal
Côte-Rôtie La Landonne 2019",2019,$501.50,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2015",2015,$530.95,85%;,40.5755%;,11.5164%;,44.3917%;
"E. Guigal
Côte-Rôtie La Mouline 2019",2019,$501.50,66.6169%;,64.1945%;,10.2499%;,64.353%;
"E. Guigal
Ermitage Ex-Voto 2010",2010,$395.95,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"E. Guigal
Côte-Rôtie La Mouline 1986",1986,$419.99,66.6169%;,64.1945%;,10.2499%;,64.353%;
"E. Guigal
Côte-Rôtie La Turque 1998",1998,$866.24,69.941%;,66.4626%;,10.2517%;,64.435%;
"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2020",2020,$597.44,83.3728%;,39.9899%;,11.8831%;,45.2795%;
"E. Guigal
Côte-Rôtie La Turque 2017",2017,$438.59,69.941%;,66.4626%;,10.2517%;,64.435%;
"Pegau
Cuvée Da Capo Châteauneuf-du-Pape 2020",2020,$439.99,85%;,40.9855%;,19.5418%;,44.77%;
"E. Guigal
Côte-Rôtie La Turque 2016",2016,$627,69.941%;,66.4626%;,10.2517%;,64.435%;
"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2017",2017,$690,83.3728%;,39.9899%;,11.8831%;,45.2795%;
"Domaine Jean-Louis Chave
L'Hermitage 2012",2012,$833,80.8495%;,69.4019%;,8.80194%;,55.717%;
"E. Guigal
Côte-Rôtie La Mouline 2012",2012,$543,66.6169%;,64.1945%;,10.2499%;,64.353%;
"Henri Bonneau
Chateauneuf-du-Pape Réserve des Célestins 2009",2009,$790,79.5764%;,42.9762%;,17.9771%;,45.7554%;
"Jean-Michel Gerin
La Landonne Côte-Rôtie 2016",2016,$416,68.4601%;,59.1367%;,13.7056%;,66.4986%;
"Paul Autard
Juline Châteauneuf-du-Pape 2019",2019,$74.94,81.6464%;,42.0528%;,15.4206%;,41.7612%;
"Jean-Michel Gerin
Les Grandes Places Côte-Rôtie 2018",2018,$149.94,73.1031%;,63.6177%;,17.1175%;,63.7115%;
"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2020",2020,$459,85%;,40.5755%;,11.5164%;,44.3917%;
"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2017",2017,$560.50,85%;,40.5755%;,11.5164%;,44.3917%;
"Thierry Allemand
Cornas 'Reynard' 2019",2019,$530.95,80.3692%;,55.9627%;,5.56121%;,58.1666%;
"Domaine Jean-Louis Chave
Clos Florentin 2018",2018,$234.82,75.4618%;,52.5616%;,12.5493%;,54.532%;
"Domaine de Marcoux
Châteauneuf-du-Pape Vieilles Vignes 2019",2019,$200.55,83.5092%;,46.2699%;,18.4849%;,45.7734%;
"Domaine Jean-Louis Chave
Clos Florentin 2017",2017,$234.82,75.4618%;,52.5616%;,12.5493%;,54.532%;
"E. Guigal
Côte-Rôtie La Turque 2019",2019,$501.50,69.941%;,66.4626%;,10.2517%;,64.435%;
"Château La Nerthe
Cuvée des Cadettes Châteauneuf-du-Pape 2016",2016,$353.95,84.605%;,39.6536%;,12.6053%;,44.1185%;
"Domaine Jean-Louis Chave
Clos Florentin 2020",2020,$271.35,75.4618%;,52.5616%;,12.5493%;,54.532%;
"E. Guigal
Côte-Rôtie La Landonne 2018",2018,$501.50,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"E. Guigal
Côte-Rôtie La Landonne 2008",2008,$346.95,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"Johann Michel
Mère Michel 2019",2019,$170.09,81.5384%;,44.7115%;,17.5%;,57.8846%;
"Domaine du Tunnel
Pur Noir 2020",2020,$236.24,85%;,52.8542%;,20.151%;,52.4115%;
"Guy Bernard
Côte Brune Côte-Rôtie 2020",2020,$99.99,68.9175%;,58.4346%;,0px;,68.0982%;
"E. Guigal
Côte-Rôtie La Mouline 2017",2017,$438.59,66.6169%;,64.1945%;,10.2499%;,64.353%;
"Pegau
Cuvée Da Capo Châteauneuf-du-Pape 2015",2015,$576.29,85%;,40.9855%;,19.5418%;,44.77%;
"E. Guigal
Ermitage Ex-Voto 2017",2017,$407.99,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"Delas
Les Bessards Hermitage 2014",2014,$229.99,85%;,67.9345%;,9.84127%;,53.7901%;
"Pierre Usseglio
Châteauneuf-du-Pape Cuvée de mon Aïeul 2018",2018,$79.99,85%;,41.0312%;,19.9819%;,43.1994%;
"Domaine Jean-Louis Chave
L'Hermitage 1998",1998,$749.99,80.8495%;,69.4019%;,8.80194%;,55.717%;
"M. Chapoutier
Ermitage l'Ermite 1997",1997,$279.99,81.8494%;,69.2983%;,10.3532%;,56.2876%;
"E. Guigal
Côte-Rôtie La Landonne 2017",2017,$567,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"E. Guigal
Ermitage Ex-Voto 2015",2015,$461,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"Delas
Les Bessards Hermitage 2013",2013,$448,85%;,67.9345%;,9.84127%;,53.7901%;
"Pegau
Cuvée Da Capo Châteauneuf-du-Pape 2016",2016,$790,85%;,40.9855%;,19.5418%;,44.77%;
"E. Guigal
Côte-Rôtie La Mouline 2014",2014,$533,66.6169%;,64.1945%;,10.2499%;,64.353%;
"M. Chapoutier
Châteauneuf-du-Pape Barbe Rac 2015",2015,$256.67,83.0157%;,39.587%;,14.459%;,44.8634%;
"M. Chapoutier
Ermitage l'Ermite 2018",2018,$980,81.8494%;,69.2983%;,10.3532%;,56.2876%;
