name,year,price,bodyPercent,Tanning,Sugar,Acidic,wine_image,compareFoods,rating,about_wine,Winery,Type,Grape_Type,Alcohol
0,"Roger Sabon
Châteauneuf-du-Pape Le Secret Des Sabon 2020",2020,$250,78.0466%;,39.5604%;,16.5691%;,46.7192%;,https://images.vivino.com/thumbs/aJISsgMpQSqzwzG4Rs8msQ_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.4,"[['Winery', 'Roger Sabon'], ['Grapes', '100% Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15.5%'], ['Allergens', 'Contains sulfites']]", Roger Sabon,red,"[' 100% Grenache', ' ']", 15.5%
1,"E. Guigal
Ermitage Ex-Voto 2018",2018,$500,82.7338%;,69.9444%;,13.4667%;,56.4577%;,https://images.vivino.com/thumbs/ZZ7B6x7-TNucy0v7EWaHqw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.4,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Eye : Deep dark ruby colour with mauve tints.', 'Nose : Black fruits, leather, liquorice, coffee flavour and oriental spices.', 'Palate : Powerful attack with richness and an important tannic structure. This wine expression fully the terroir trough its finesse and the strength of its tannins.', 'Overall : Great ageing potential, structured and concentrated with a rare intensity of flavour and colour.']]", E. Guigal,red,"[' 100% Shiraz/Syrah', ' ']", 14.5%
2,"Stéphane Usseglio
Fragments Châteauneuf du Pape 2018",2018,$75,85%;,39.8291%;,0px;,44.3797%;,https://images.vivino.com/thumbs/fEXeQfSiQzOPKUhW8cAhiw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.2,"[['Winery', 'Stéphane Usseglio'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites']]", Stéphane Usseglio,red,"[' Shiraz/Syrah', ' Grenache', ' Mourvedre', ' ']", 14.5%
3,"Paul Jaboulet Aîné
Hermitage La Petite Chapelle 2014",2014,$300,85%;,67.2871%;,11.9874%;,53.9848%;,https://images.vivino.com/thumbs/sEtWZCfkQZCi0x8c_FAIqg_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Paul Jaboulet Aîné'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'It has intense and aromatic with sweet spices, floral notes as well as very ripe fruit. Powerful and harmonious and a very long finish.']]", Paul Jaboulet Aîné,red,"[' 100% Shiraz/Syrah', ' ']", 13%
4,"E. Guigal
Côte-Rôtie La Mouline 2018",2018,$501.50,66.6169%;,64.1945%;,10.2499%;,64.353%;,https://images.vivino.com/thumbs/HYVZMFigQ5qXxni7s9SpWw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'Visual : Deep ruby red with bright red highlights.', 'Nose : Small red fruits, blackberry and floral aromas of violets, powerful ... but fine aromatic intensity.', ""Palate : Entry into very soft mouth and beautiful harmony between the wine's bouquet and explosive richness due to the concentration of this wine."", 'Ensemble : female wine with voluptuous texture silky velvety, intensely aromatic.']]", E. Guigal,red,"[' 100% Shiraz/Syrah', ' ']", 13%
5,"E. Guigal
Côte-Rôtie La Turque 2018",2018,$501.50,69.941%;,66.4626%;,10.2517%;,64.435%;,https://images.vivino.com/thumbs/ef3LDfDxSRit60wSsGYW6A_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'To the eye, its ruby red dress reveals pretty dark reflections . The nose of red berry, cherry and blackberry fruit is marked by a lingering aroma and an elegant intensity. The palate is soft with fine tannins and the same red fruit notes on the nose.']]", E. Guigal,red,"[' 100% Shiraz/Syrah', ' ']", 13%
6,"M. Chapoutier
Ermitage l'Ermite 2011",2011,$905.09,81.8494%;,69.2983%;,10.3532%;,56.2876%;,https://images.vivino.com/thumbs/25fLonL3QPGNDB8T6q87CQ_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'M. Chapoutier'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Garnet very dark almost black. Black fruit with notes of spices and ink. Powerful tannins and both velvety, smoky notes, pepper Syrah beautifully expresses this granite soil.']]", M. Chapoutier,red,"[' 100% Shiraz/Syrah', ' ']", 13.5%
7,"Domaine Jean-Louis Chave
Clos Florentin 2015",2015,$399.99,75.4618%;,52.5616%;,12.5493%;,54.532%;,https://images.vivino.com/thumbs/NrlvsPi6SwyB9jik0iYS0Q_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'Domaine Jean-Louis Chave'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Saint-Joseph'], ['Wine style', 'Northern Rhône Saint-Joseph'], ['Allergens', 'Contains sulfites']]", Domaine Jean-Louis Chave,red,"[' Shiraz/Syrah', ' ']", Contains sulfites
8,"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2005",2005,$998,83.3728%;,39.9899%;,11.8831%;,45.2795%;,https://images.vivino.com/thumbs/x0HbDVIhT8KHdfuFoAdB0w_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.7,"[['Winery', 'Château de Beaucastel'], ['Grapes', '100% Aglianico'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '12.5%'], ['Allergens', 'Contains sulfites']]", Château de Beaucastel,red,"[' 100% Aglianico', ' ']", 12.5%
9,"Domaine Jean-Louis Chave
L'Hermitage 2014",2014,$833,80.8495%;,69.4019%;,8.80194%;,55.717%;,https://images.vivino.com/thumbs/aspf1zoiTceU5RI9OIY8ew_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'Domaine Jean-Louis Chave'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites']]", Domaine Jean-Louis Chave,red,"[' 100% Shiraz/Syrah', ' ']", 14%
