,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Michel Gros
Clos de Vougeot Grand Cru Grand Maupertuis 2019",2019,$279,45.2514%;,30.7206%;,9.59908%;,66.0179%;
1,"Louis Latour
Clos Vougeot Grand Cru 2017",2017,$540,43.8299%;,29.5668%;,9.34939%;,72.0647%;
2,"Michel Gros
Clos de Vougeot Grand Cru Grand Maupertuis 2020",2020,$299,45.2514%;,30.7206%;,9.59908%;,66.0179%;
3,"Aurélien Verdet
Nuits-Saint-Georges 1er Cru 'Aux Boudots' 2016",2016,$365,37.5022%;,32.6668%;,6.24155%;,78.7184%;
4,"Domaine Taupenot-Merme
Corton Rognet Grand Cru 2017",2017,$377,38.8588%;,28.8578%;,10.2518%;,60.9115%;
5,"Domaine Nicolas Rossignol
Pommard 1er Cru 'Les Épenots' 2020",2020,$525,36.0529%;,25.1791%;,0.442168%;,68.4552%;
6,"Dugat-Py
Vieilles Vignes Gevrey-Chambertin Cuvée Cœur de Roy 2016",2016,$366,50.3527%;,40.9839%;,14.414%;,71.7262%;
7,"Château de la Tour
Clos Vougeot Grand Cru 2014",2014,$459.95,47.9935%;,38.402%;,7.4153%;,71.3894%;
8,"Joseph Drouhin
Charmes-Chambertin Grand Cru 2016",2016,$537,42.6404%;,30.5658%;,15.4593%;,70.4341%;
9,"Joseph Drouhin
Clos de Vougeot Grand Cru 2016",2016,$532,42.3195%;,35.2328%;,10.2768%;,69.0066%;
10,"Clos Frantin
Grands-Échézeaux Grand Cru 2018",2018,$537,43.6504%;,37.2264%;,12.6213%;,72.7128%;
11,"Domaine Joseph Roty
Mazy-Chambertin Grand Cru 2010",2010,$961,46.3827%;,35.8138%;,9.42155%;,74.6635%;
12,"Louis Jadot
Griotte-Chambertin Grand Cru 2012",2012,$264.49,38.3119%;,28.4146%;,11.123%;,68.739%;
13,"Hubert Lignier
Gevrey-Chambertin 1er Cru 'Aux Combottes' 2013",2013,$287.49,46.0288%;,42.9758%;,0px;,74.4309%;
14,"Laurent Ponsot
Cuvée de L'Érable Échezeaux Grand Cru 2019",2019,$777,46.0119%;,39.2381%;,7.7381%;,66.4762%;
15,"Louis Jadot
Clos Saint-Denis Grand Cru 2015",2015,$700,40.5103%;,37.2882%;,8.8063%;,73.5201%;
16,"Domaine Hoffmann-Jayer
Echezeaux du Dessus Grand Cru 2018",2018,$709,46.5185%;,35.4773%;,0px;,67.2571%;
17,"Domaine Taupenot-Merme
Chambolle Musigny 2018",2018,$310,37.6822%;,31.7702%;,6.35914%;,69.3531%;
18,"Louis Latour
Clos Vougeot Grand Cru 2016",2016,$540,43.8299%;,29.5668%;,9.34939%;,72.0647%;
19,"Albert Bichot
Clos de la Roche Grand Cru 2016",2016,$569,55.1394%;,30.4968%;,1.20353%;,77.4343%;
20,"Louis Latour
Echézeaux Grand Cru 2015",2015,$697,40.8207%;,37.1785%;,1.16834%;,68.9973%;
21,"Matrot
Volnay 1er Cru 'Santenots' 2017",2017,$414,30.6547%;,20.4563%;,11.2713%;,63.5131%;
22,"Michel Gros
Vosne-Romanée 1er Cru 'Clos des Réas' 2021",2021,$398,41.2243%;,32.3122%;,9.33115%;,68.9305%;
23,"Domaine Trapet
Gevrey-Chambertin Premier Cru Capita 2018",2018,$340,42.205%;,38.842%;,10.1538%;,75.4429%;
24,"Domaine Castagnier
Charmes-Chambertin Grand Cru 2018",2018,$364.95,49.675%;,40.9681%;,5.71465%;,64.6538%;
25,"Louis Latour
Chambertin Grand Cru Cuvée Héritiers Latour 2016",2016,$676,40.2015%;,34.7811%;,17.743%;,68.2829%;
26,"Hubert Lignier
Vieilles Vignes Morey-St-Denis 1er Cru 2013",2013,$344.99,45.2974%;,31.5574%;,8.76133%;,74.1168%;
27,"Domaine des Lambrays
Clos des Lambrays Grand Cru 1998",1998,$780,41.6922%;,33.8166%;,11.0574%;,72.0673%;
28,"Domaine Frédéric Esmonin
Ruchottes-Chambertin Grand Cru 2018",2018,$184.99,38.8018%;,33.0246%;,2.33497%;,70.7396%;
29,"Domaine Taupenot-Merme
Morey Saint Denis Premier Cru La Riotte 2017",2017,$278,42.7877%;,36.0031%;,9.19996%;,73.6126%;
