wine_image,name,compareFoods,rating,about_wine,Winery,Type,Grape_Type,Alcohol,year,price,bodyPercent,Tanning,Sugar,Acidic,NewBodyPercent,NewTanning,NewDryOrSweet,NewAcidic,Region,SweetnessScale,AcidicScale,BodyScale
0,https://images.vivino.com/thumbs/8a_JYJmsQ1q1PzY9L91I-A_pb_x600.png,"Château Beausejour (héritiers Duffau-Lagarrosse)
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Beausejour (héritiers Duffau-Lagarrosse)'], ['Grapes', 'Merlot, Cabernet Sauvignon, Cabernet Franc'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites']]", Château Beausejour (héritiers Duffau-Lagarrosse),red,"[' Merlot', ' Cabernet Sauvignon', ' Cabernet Franc', ' ']", 13%,2014,$137.67,72.4694%;,56.8213%;,10.0319%;,53.3778%;,72.4694,56.8213,10.0319,53.3778, Bordeaux,0.25285447112258225,0.5343390047151891,0.8113651212293648
1,https://images.vivino.com/thumbs/BrbHdEB8TqK2N61pvLoQeQ_pb_x600.png,"Château La Conseillante
Pomerol 2018","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château La Conseillante'], ['Grapes', '100% Cabernet Franc'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'Very fine, round, very fruity wine, which will provide great tasting pleasure even when young. It is very well balanced and shows lovely freshness, underpinned by a medium structure.']]", Château La Conseillante,red,"[' 100% Cabernet Franc', ' ']", 13.5%,2018,$343.99,71.1173%;,54.1515%;,9.05772%;,52.7759%;,71.1173,54.1515,9.05772,52.7759, Bordeaux,0.2283002223084795,0.5254755684880471,0.7910106913069527
2,https://images.vivino.com/thumbs/4fTn5zJRTAWUdX9cnng2NQ_pb_x600.png,"Château Gazin
Pomerol 2018","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Gazin'], ['Grapes', '100% Merlot'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Lavish richness offers a wide aromatic range of black and red fruits which harmonises with its intense purple colour. It also offers hints of mint, plum, chocolate, coffee or liquorice, a bouquet of almond, toast, tobacco and vanilla. Maturity gives it a nose of spices, truffles, undergrowth and gamey scents: fur, leather. Its taste is characterised by their silky tannins, their balance and concentration, enhanced by a delicate oaky note.']]", Château Gazin,red,"[' 100% Merlot', ' ']", 14.5%,2018,$139.99,73.0692%;,56.2655%;,8.95999%;,52.5401%;,73.0692,56.2655,8.95999,52.5401, Bordeaux,0.22583693345364542,0.5220032337773642,0.8203944733981855
3,https://images.vivino.com/thumbs/9dJEcnU_RnecZTWYx0Kh3Q_pb_x600.png,"Château Gruaud Larose
Saint-Julien (Grand Cru Classé) 2010","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Gruaud Larose'], ['Grapes', '66% Cabernet Sauvignon, 28% Merlot, 6% Petit Verdot'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites']]", Château Gruaud Larose,red,"[' 66% Cabernet Sauvignon', ' 28% Merlot', ' 6% Petit Verdot', ' ']", 14%,2010,$189.95,61.9414%;,63.7522%;,7.8055%;,71.4182%;,61.9414,63.7522,7.8055,71.4182, Bordeaux,0.19673796333170343,0.799997643878059,0.6528772592197845
4,https://images.vivino.com/thumbs/auhSHa-oSo2t97PddvhhKA_pb_x600.png,"Château Grand-Puy-Lacoste
Pauillac (Grand Cru Classé) 2019","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Grand-Puy-Lacoste'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Pauillac'], ['Wine style', 'Bordeaux Pauillac'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'Exhibits classic Pauillac aromas and flavors of creme de cassis along with stony/floral notes.']]", Château Grand-Puy-Lacoste,red,"[' 100% Cabernet Sauvignon', ' ']", 13%,2019,$116,71.8223%;,72.767%;,7.55852%;,72.4042%;,71.8223,72.767,7.55852,72.4042, Bordeaux,0.19051282180538684,0.8145172453400328,0.8016237177808087
5,https://images.vivino.com/thumbs/ggYdM1VhSV2VwPOMfvJ7TQ_pb_x600.png,"Château Cantenac Brown
Margaux (Grand Cru Classé) 2016","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Cantenac Brown'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens']]", Château Cantenac Brown,red,"[' 100% Cabernet Sauvignon', ' ']", 13.5%,2016,$100,62.9745%;,64.6261%;,7.08894%;,71.9807%;,62.9745,64.6261,7.08894,71.9807, Bordeaux,0.17867703770170337,0.8082808850772073,0.668429482837005
6,https://images.vivino.com/thumbs/w415ZVJcTWCXgGXjug-pGg_pb_x600.png,"Château Gazin
L'Hospitalet de Gazin Pomerol 2019","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Gazin'], ['Grapes', '100% Merlot'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', ""A dark, winey style, with flavors of steeped plum, kirsch and black cherry preserves, notes of singed spice and apple wood and a long, licorice-framed finish. Features a bit of chewy grip, but there's ample flesh at the core for balance.""]]", Château Gazin,red,"[' 100% Merlot', ' ']", 13%,2019,$60,72.926%;,54.5975%;,5.60577%;,52.1383%;,72.926,54.5975,5.60577,52.1383, Bordeaux,0.1412936740383016,0.5160864225527992,0.8182387494392408
7,https://images.vivino.com/thumbs/CTFn0en9ScKS-_5__wjZ0Q_pb_x600.png,"Petit-Figeac
Saint-Émilion 2016","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Petit-Figeac'], ['Grapes', '41% Cabernet Franc, 36% Cabernet Sauvignon, 23% Merlot'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork']]", Petit-Figeac,red,"[' 41% Cabernet Franc', ' 36% Cabernet Sauvignon', ' 23% Merlot', ' ']", 13%,2016,$100,73.9045%;,54.435%;,2.8405%;,52.6013%;,73.9045,54.435,2.8405,52.6013, Bordeaux,0.07159492471253649,0.5229044504198316,0.8329690280274221
8,https://images.vivino.com/thumbs/fp0xBmQ5SyeFj1ySZU8AlQ_pb_x600.png,"Château Giscours
Château Giscours (Grand Cru Classé) 2010","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Giscours'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites']]", Château Giscours,red,"[' 100% Cabernet Sauvignon', ' ']", 14%,2010,$134.83,62.3271%;,63.2783%;,6.89993%;,71.8069%;,62.3271,63.2783,6.89993,71.8069, Bordeaux,0.17391303251954654,0.8057215476186971,0.6586835632069705
9,https://images.vivino.com/thumbs/8GOQAjMSTxm0So0G-URPXw_pb_x600.png,"Château Pichon Longueville Comtesse de Lalande
Réserve (de la Comtesse) Pauillac 2018","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Pichon Longueville Comtesse de Lalande'], ['Grapes', '53% Cabernet Sauvignon, 42% Merlot, 4% Petit Verdot, 1% Cabernet Franc'], ['France', 'Bordeaux', 'Médoc', 'Pauillac'], ['Wine style', 'Bordeaux Pauillac'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'Complexity, elegance and longevity are the hallmarks of this race. The nose is distinguished by a bouquet of aromas, mixing blackcurrant and violet, vanilla and cinnamon. On the palate, the tannins appear mature and melted, revealing a strong and affirmed structure, a surprising suppleness, perfect harmony and long persistency.']]", Château Pichon Longueville Comtesse de Lalande,red,"[' 53% Cabernet Sauvignon', ' 42% Merlot', ' 4% Petit Verdot', ' 1% Cabernet Franc', ' ']", 14%,2018,$85,70.9953%;,69.6288%;,5.41909%;,70.9459%;,70.9953,69.6288,5.41909,70.9459, Bordeaux,0.13658839660639302,0.7930426664232008,0.7891741108391367
